SlNo,Station,Agency,State,District,Tehsil,River,Basin,Tributary,Local_River,Latitude,Longitude,DateTime,Year,Discharge_m3_per_sec,Source_File
29957,ASHRAMAM,CWC,Tamil Nadu,Kanyakumari,AGASTHEESWARAM,Pazhayar,West flowing rivers from Tadri to Kanyakumari,-,Pazhayar,8.15833333,77.46,01-01-2021 8.00,2021,2.8,Tamil Nadu CWC
566,Alandurai,CWC,Tamil Nadu,Coimbatore,COIMBATORE SOUTH,Cauvery,Cauvery,Noyyal,Noyyal,10.95194444,76.78527778,01-01-2021 8.00,2021,0.967,Tamil Nadu CWC
16683,Ambasamudram,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,Vaigai,9.92555556,77.51166667,01-01-2021 8.00,2021,15.048,Tamil Nadu CWC
6773,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,01-01-2021 8.00,2021,0.177,Puducherry CWC
22166,Arcot,CWC,Tamil Nadu,Ranipet,Arcot,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,Palar,12.91388889,79.33305556,01-01-2021 8.00,2021,6.218,Tamil Nadu CWC
63798,ELUNUTHIMANGALAM,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,Noyyal,Noyyal,11.03166667,77.8875,01-01-2021 8.00,2021,5.31,Tamil Nadu CWC
79855,HARUR,CWC,Tamil Nadu,Dharmapuri,HARUR,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,Vaniyar,Vaniyar,11.90277778,78.33,01-01-2021 8.00,2021,1.013,Tamil Nadu CWC
121966,KUZHITHURAI,CWC,Tamil Nadu,Kanyakumari,Thovalai,Thambraparni,West flowing rivers from Tadri to Kanyakumari,-,Thambraparni,8.30222222,77.18861111,01-01-2021 8.00,2021,0,Tamil Nadu CWC
114171,Kukkalthurai,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Bhavani,11.48555556,76.8325,01-01-2021 8.00,2021,0.558,Tamil Nadu CWC
132750,MANIYAMPATTU,CWC,Tamil Nadu,Viluppuram,Chenji,Varahanadhi,East flowing rivers between Pennar and Kanyakumari,-,Varahanadhi,12.22638889,79.51472222,01-01-2021 8.00,2021,15.917,Tamil Nadu CWC
150807,MURAPPANADU,CWC,Tamil Nadu,Tuticorin,THOOTHUKKUDI,Thambraparani,East flowing rivers between Pennar and Kanyakumari,-,Thambraparani,8.71444444,77.835,01-01-2021 8.00,2021,20.54,Tamil Nadu CWC
131311,Magaral,CWC,Tamil Nadu,Kancheepuram,CHENGALPATTU,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,Cheyyar,Cheyyar,12.70833333,79.75,01-01-2021 8.00,2021,1.397,Tamil Nadu CWC
141776,Menangudi,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Noolar,10.94888889,79.70361111,01-01-2021 8.00,2021,5.419,Tamil Nadu CWC
16729,Nallathur,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nandalar,11.00222222,79.75138889,01-01-2021 8.00,2021,16.78,Puducherry CWC
184080,PATTUKOTTAI,CWC,Tamil Nadu,Thanjavur,Pattukkottai,Agniyar,East flowing rivers between Pennar and Kanyakumari,-,Agniyar,10.41694444,79.29166667,01-01-2021 8.00,2021,1.1,Tamil Nadu CWC
218092,SEVANUR,CWC,Tamil Nadu,Salem,Sankari,Cauvery,Cauvery,Chittar,Chittar,11.55194444,77.73194444,01-01-2021 8.00,2021,1.037,Tamil Nadu CWC
246027,THENI,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Suruliar,Suruliar,10.00111111,77.485,01-01-2021 8.00,2021,23.752,Tamil Nadu CWC
258121,THIRUVARAMBU,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,-,Kodaiyar,8.36416667,77.25888889,01-01-2021 8.00,2021,2.545,Tamil Nadu CWC
273082,URACHIKOTTAI,CWC,Tamil Nadu,Erode,BHAVANI,Cauvery,Cauvery,-,Cauvery,11.47777778,77.7,01-01-2021 8.00,2021,73.42,Tamil Nadu CWC
298254,V.Kallathur,CWC,Tamil Nadu,Perambalur,PERAMBALUR,Duplicate-Vellar,East flowing rivers between Pennar and Kanyakumari,Sweta,Sweta,11.4025,78.92972222,01-01-2021 8.00,2021,10.864,Tamil Nadu CWC
286911,Vazhavachanur,CWC,Tamil Nadu,Tiruvannamalai,CHENGAM,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.06583333,78.97805556,01-01-2021 8.00,2021,16.017,Tamil Nadu CWC
288442,Venganur,CWC,Tamil Nadu,Cuddalore,Virudhachalam,Vellar,East flowing rivers between Pennar and Kanyakumari,Periyaodai,Periyaodai,11.44305556,79.02444444,01-01-2021 8.00,2021,1.1,Tamil Nadu CWC
40223,Balasamudram,CWC,Tamil Nadu,Dindigul,PALANI,Cauvery,Cauvery,Varathamanadhi,Varathamanadhi,10.42555556,77.53388889,01-01-2021 8.15,2021,0.173,Tamil Nadu CWC
56050,Chengalpet,CWC,Tamil Nadu,Chengalpattu,chengalpattu,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,Palar,12.65,79.94722222,01-01-2021 8.15,2021,7.841,Tamil Nadu CWC
105666,KODUMUDI,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,-,Cauvery,11.08,77.89,01-01-2021 8.15,2021,97.54,Tamil Nadu CWC
97590,Kalpadai,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.78722222,78.78666667,01-01-2021 8.15,2021,4.677,Tamil Nadu CWC
143226,MONNAVEDU,CWC,Tamil Nadu,Tiruvallur,TIRUVALLUR,Kosasthalaiyar,East flowing rivers between Pennar and Kanyakumari,-,Kosasthalaiyar,13.22361111,79.94527778,01-01-2021 8.15,2021,75.556,Tamil Nadu CWC
168869,NARIYAMPATTU,CWC,Tamil Nadu,Vellore,VANIYAMBADI,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,-,12.84777778,78.72111111,01-01-2021 8.15,2021,1.931,Tamil Nadu CWC
175625,Odendurai,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Kallar,11.32166667,76.89277778,01-01-2021 8.15,2021,3.244,Tamil Nadu CWC
186351,Penneswaramadam,CWC,Tamil Nadu,Krishnagiri,Pochampalli,Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.39555556,78.24583333,01-01-2021 8.15,2021,4.278,Tamil Nadu CWC
229135,Thengudi,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Thirumalairajanar,10.91611111,79.63916667,01-01-2021 8.15,2021,11.929,Tamil Nadu CWC
48231,BILIGUNDULU,CWC,Tamil Nadu,Dharmapuri,Denkanikotti,Cauvery,Cauvery,-,Cauvery,12.18222222,77.72388889,01-01-2021 9.00,2021,80.396,Tamil Nadu CWC
78250,GUMMANUR,CWC,Tamil Nadu,Krishnagiri,Krishnagiri,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.555,78.13833333,01-01-2021 9.00,2021,3.451,Tamil Nadu CWC
219533,SINGASADANAPALLI,CWC,Tamil Nadu,Krishnagiri,Krishnagiri,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.87,77.83611111,01-01-2021 9.00,2021,6.0962367,Tamil Nadu CWC
273083,URACHIKOTTAI,CWC,Tamil Nadu,Erode,BHAVANI,Cauvery,Cauvery,-,Cauvery,11.47777778,77.7,01-01-2021 9.00,2021,73.42,Tamil Nadu CWC
95220,KALLIDAIKURICHHI,CWC,Tamil Nadu,Tirunelveli,AMBASAMUDRAM,Tambraparani,East flowing rivers between Pennar and Kanyakumari,-,Tambraparani,8.69333333,77.46583333,01-01-2021 9.15,2021,257.185,Tamil Nadu CWC
134410,Mayambadi,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.7375,78.79083333,01-01-2021 10.00,2021,4.321,Tamil Nadu CWC
159467,MUSIRI,CWC,Tamil Nadu,Tiruchirappalli,MUSIRI,Cauvery,Cauvery,-,Cauvery,10.93805556,78.44027778,01-01-2021 10.15,2021,184.027,Tamil Nadu CWC
256444,THIRUVALAM,CWC,Tamil Nadu,Vellore,Gudiyatham,Palar,East flowing rivers between Pennar and Kanyakumari,Poini,Poini,12.98472222,79.26722222,01-01-2021 12.00,2021,4.011,Tamil Nadu CWC
8976,AMBARAMPALAYAM,CWC,Tamil Nadu,Coimbatore,POLLACHI,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,Aliyar,10.63138889,76.94611111,02-01-2021 8.00,2021,15.29,Tamil Nadu CWC
16714,Ambasamudram,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,Vaigai,9.92555556,77.51166667,02-01-2021 8.00,2021,8.977,Tamil Nadu CWC
6807,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,02-01-2021 8.00,2021,0.163,Puducherry CWC
6808,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,02-01-2021 8.00,2021,0.2,Puducherry CWC
48262,BILIGUNDULU,CWC,Tamil Nadu,Dharmapuri,Denkanikotti,Cauvery,Cauvery,-,Cauvery,12.18222222,77.72388889,02-01-2021 8.00,2021,44.192,Tamil Nadu CWC
63829,ELUNUTHIMANGALAM,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,Noyyal,Noyyal,11.03166667,77.8875,02-01-2021 8.00,2021,3.146,Tamil Nadu CWC
67619,Gandhavayal,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.37416667,76.99222222,02-01-2021 8.00,2021,1.53,Tamil Nadu CWC
79884,HARUR,CWC,Tamil Nadu,Dharmapuri,HARUR,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,Vaniyar,Vaniyar,11.90277778,78.33,02-01-2021 8.00,2021,0.421,Tamil Nadu CWC
123541,LAKSHMANANPATTI,CWC,Tamil Nadu,Dindigul,Vedasandur,Cauvery,Cauvery,Amaravathi,Kodavanar,10.49805556,77.94583333,02-01-2021 8.00,2021,7.77,Tamil Nadu CWC
132781,MANIYAMPATTU,CWC,Tamil Nadu,Viluppuram,Chenji,Varahanadhi,East flowing rivers between Pennar and Kanyakumari,-,Varahanadhi,12.22638889,79.51472222,02-01-2021 8.00,2021,0.743,Tamil Nadu CWC
159498,MUSIRI,CWC,Tamil Nadu,Tiruchirappalli,MUSIRI,Cauvery,Cauvery,-,Cauvery,10.93805556,78.44027778,02-01-2021 8.00,2021,81.42,Tamil Nadu CWC
184112,PATTUKOTTAI,CWC,Tamil Nadu,Thanjavur,Pattukkottai,Agniyar,East flowing rivers between Pennar and Kanyakumari,-,Agniyar,10.41694444,79.29166667,02-01-2021 8.00,2021,1.034,Tamil Nadu CWC
210131,SAVANDAPUR,CWC,Tamil Nadu,Erode,Gobichettipalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.52,77.51,02-01-2021 8.00,2021,13.22,Tamil Nadu CWC
237394,THENGUMARAHADA,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Moyar,11.57277778,76.91916667,02-01-2021 8.00,2021,3.971,Tamil Nadu CWC
246058,THENI,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Suruliar,Suruliar,10.00111111,77.485,02-01-2021 8.00,2021,21.65,Tamil Nadu CWC
256475,THIRUVALAM,CWC,Tamil Nadu,Vellore,Gudiyatham,Palar,East flowing rivers between Pennar and Kanyakumari,Poini,Poini,12.98472222,79.26722222,02-01-2021 8.00,2021,1.611,Tamil Nadu CWC
260193,THIRUVATTAR,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,Paralayar,Paralayar,8.32777778,77.26694444,02-01-2021 8.00,2021,1.25,Tamil Nadu CWC
229166,Thengudi,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Thirumalairajanar,10.91611111,79.63916667,02-01-2021 8.00,2021,11.19,Tamil Nadu CWC
273125,URACHIKOTTAI,CWC,Tamil Nadu,Erode,BHAVANI,Cauvery,Cauvery,-,Cauvery,11.47777778,77.7,02-01-2021 8.00,2021,48.17,Tamil Nadu CWC
105697,KODUMUDI,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,-,Cauvery,11.08,77.89,02-01-2021 8.15,2021,35.448,Tamil Nadu CWC
97621,Kalpadai,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.78722222,78.78666667,02-01-2021 8.15,2021,1.461,Tamil Nadu CWC
143254,MONNAVEDU,CWC,Tamil Nadu,Tiruvallur,TIRUVALLUR,Kosasthalaiyar,East flowing rivers between Pennar and Kanyakumari,-,Kosasthalaiyar,13.22361111,79.94527778,02-01-2021 8.15,2021,16.55,Tamil Nadu CWC
168900,NARIYAMPATTU,CWC,Tamil Nadu,Vellore,VANIYAMBADI,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,-,12.84777778,78.72111111,02-01-2021 8.15,2021,0.74,Tamil Nadu CWC
186384,Penneswaramadam,CWC,Tamil Nadu,Krishnagiri,Pochampalli,Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.39555556,78.24583333,02-01-2021 8.15,2021,1.987,Tamil Nadu CWC
278930,Varanavasi,CWC,Tamil Nadu,Ariyalur,Ariyalur,Cauvery,Cauvery,Marudaiyar,Marudaiyar,11.0925,79.085,02-01-2021 8.15,2021,0.926,Tamil Nadu CWC
286942,Vazhavachanur,CWC,Tamil Nadu,Tiruvannamalai,CHENGAM,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.06583333,78.97805556,02-01-2021 8.15,2021,2.592,Tamil Nadu CWC
258148,THIRUVARAMBU,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,-,Kodaiyar,8.36416667,77.25888889,02-01-2021 9.00,2021,1.288,Tamil Nadu CWC
273126,URACHIKOTTAI,CWC,Tamil Nadu,Erode,BHAVANI,Cauvery,Cauvery,-,Cauvery,11.47777778,77.7,02-01-2021 9.00,2021,48.17,Tamil Nadu CWC
95251,KALLIDAIKURICHHI,CWC,Tamil Nadu,Tirunelveli,AMBASAMUDRAM,Tambraparani,East flowing rivers between Pennar and Kanyakumari,-,Tambraparani,8.69333333,77.46583333,02-01-2021 9.15,2021,34.174797,Tamil Nadu CWC
19273,A.P.PURAM,CWC,Tamil Nadu,Tirunelveli,TIRUNELVELI,Tambraparani,East flowing rivers between Pennar and Kanyakumari,Chittar,Chittar,8.90138889,77.64861111,03-01-2021 8.00,2021,0,Tamil Nadu CWC
625,Alandurai,CWC,Tamil Nadu,Coimbatore,COIMBATORE SOUTH,Cauvery,Cauvery,Noyyal,Noyyal,10.95194444,76.78527778,03-01-2021 8.00,2021,0.323,Tamil Nadu CWC
6832,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,03-01-2021 8.00,2021,0.248,Puducherry CWC
67647,Gandhavayal,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.37416667,76.99222222,03-01-2021 8.00,2021,2.082,Tamil Nadu CWC
79912,HARUR,CWC,Tamil Nadu,Dharmapuri,HARUR,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,Vaniyar,Vaniyar,11.90277778,78.33,03-01-2021 8.00,2021,0.241,Tamil Nadu CWC
97649,Kalpadai,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.78722222,78.78666667,03-01-2021 8.00,2021,0.199,Tamil Nadu CWC
114230,Kukkalthurai,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Bhavani,11.48555556,76.8325,03-01-2021 8.00,2021,0.31647837,Tamil Nadu CWC
132809,MANIYAMPATTU,CWC,Tamil Nadu,Viluppuram,Chenji,Varahanadhi,East flowing rivers between Pennar and Kanyakumari,-,Varahanadhi,12.22638889,79.51472222,03-01-2021 8.00,2021,0.302,Tamil Nadu CWC
150866,MURAPPANADU,CWC,Tamil Nadu,Tuticorin,THOOTHUKKUDI,Thambraparani,East flowing rivers between Pennar and Kanyakumari,-,Thambraparani,8.71444444,77.835,03-01-2021 8.00,2021,9.021,Tamil Nadu CWC
134469,Mayambadi,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.7375,78.79083333,03-01-2021 8.00,2021,0.299,Tamil Nadu CWC
184141,PATTUKOTTAI,CWC,Tamil Nadu,Thanjavur,Pattukkottai,Agniyar,East flowing rivers between Pennar and Kanyakumari,-,Agniyar,10.41694444,79.29166667,03-01-2021 8.00,2021,0.178,Tamil Nadu CWC
193941,Peralam,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Vanjiyar,10.96944444,79.66138889,03-01-2021 8.00,2021,0,Tamil Nadu CWC
210159,SAVANDAPUR,CWC,Tamil Nadu,Erode,Gobichettipalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.52,77.51,03-01-2021 8.00,2021,13.01,Tamil Nadu CWC
237422,THENGUMARAHADA,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Moyar,11.57277778,76.91916667,03-01-2021 8.00,2021,3.159,Tamil Nadu CWC
246086,THENI,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Suruliar,Suruliar,10.00111111,77.485,03-01-2021 8.00,2021,3.504,Tamil Nadu CWC
256503,THIRUVALAM,CWC,Tamil Nadu,Vellore,Gudiyatham,Palar,East flowing rivers between Pennar and Kanyakumari,Poini,Poini,12.98472222,79.26722222,03-01-2021 8.00,2021,0.593,Tamil Nadu CWC
258172,THIRUVARAMBU,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,-,Kodaiyar,8.36416667,77.25888889,03-01-2021 8.00,2021,0.40928623,Tamil Nadu CWC
260217,THIRUVATTAR,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,Paralayar,Paralayar,8.32777778,77.26694444,03-01-2021 8.00,2021,1.622,Tamil Nadu CWC
273176,URACHIKOTTAI,CWC,Tamil Nadu,Erode,BHAVANI,Cauvery,Cauvery,-,Cauvery,11.47777778,77.7,03-01-2021 8.00,2021,54.12,Tamil Nadu CWC
298294,V.Kallathur,CWC,Tamil Nadu,Perambalur,PERAMBALUR,Duplicate-Vellar,East flowing rivers between Pennar and Kanyakumari,Sweta,Sweta,11.4025,78.92972222,03-01-2021 8.00,2021,0.451,Tamil Nadu CWC
278952,Varanavasi,CWC,Tamil Nadu,Ariyalur,Ariyalur,Cauvery,Cauvery,Marudaiyar,Marudaiyar,11.0925,79.085,03-01-2021 8.00,2021,0.093,Tamil Nadu CWC
286965,Vazhavachanur,CWC,Tamil Nadu,Tiruvannamalai,CHENGAM,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.06583333,78.97805556,03-01-2021 8.00,2021,1.516,Tamil Nadu CWC
288475,Venganur,CWC,Tamil Nadu,Cuddalore,Virudhachalam,Vellar,East flowing rivers between Pennar and Kanyakumari,Periyaodai,Periyaodai,11.44305556,79.02444444,03-01-2021 8.00,2021,0.098,Tamil Nadu CWC
63857,ELUNUTHIMANGALAM,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,Noyyal,Noyyal,11.03166667,77.8875,03-01-2021 8.15,2021,1.966,Tamil Nadu CWC
95279,KALLIDAIKURICHHI,CWC,Tamil Nadu,Tirunelveli,AMBASAMUDRAM,Tambraparani,East flowing rivers between Pennar and Kanyakumari,-,Tambraparani,8.69333333,77.46583333,03-01-2021 8.15,2021,10.988975,Tamil Nadu CWC
168928,NARIYAMPATTU,CWC,Tamil Nadu,Vellore,VANIYAMBADI,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,-,12.84777778,78.72111111,03-01-2021 8.15,2021,0.276,Tamil Nadu CWC
175662,Odendurai,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Kallar,11.32166667,76.89277778,03-01-2021 8.15,2021,2.148,Tamil Nadu CWC
186413,Penneswaramadam,CWC,Tamil Nadu,Krishnagiri,Pochampalli,Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.39555556,78.24583333,03-01-2021 8.15,2021,1.286,Tamil Nadu CWC
229194,Thengudi,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Thirumalairajanar,10.91611111,79.63916667,03-01-2021 8.15,2021,0.997,Tamil Nadu CWC
48286,BILIGUNDULU,CWC,Tamil Nadu,Dharmapuri,Denkanikotti,Cauvery,Cauvery,-,Cauvery,12.18222222,77.72388889,03-01-2021 9.00,2021,34.238,Tamil Nadu CWC
159526,MUSIRI,CWC,Tamil Nadu,Tiruchirappalli,MUSIRI,Cauvery,Cauvery,-,Cauvery,10.93805556,78.44027778,03-01-2021 9.00,2021,55.778,Tamil Nadu CWC
9035,AMBARAMPALAYAM,CWC,Tamil Nadu,Coimbatore,POLLACHI,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,Aliyar,10.63138889,76.94611111,04-01-2021 8.00,2021,3.594,Tamil Nadu CWC
48312,BILIGUNDULU,CWC,Tamil Nadu,Dharmapuri,Denkanikotti,Cauvery,Cauvery,-,Cauvery,12.18222222,77.72388889,04-01-2021 8.00,2021,32.01,Tamil Nadu CWC
63888,ELUNUTHIMANGALAM,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,Noyyal,Noyyal,11.03166667,77.8875,04-01-2021 8.00,2021,0.232,Tamil Nadu CWC
134501,Mayambadi,CWC,Tamil Nadu,Kallakurichi,Chinnasalem,Vellar,East flowing rivers between Pennar and Kanyakumari,Manimukta,Gomukha,11.7375,78.79083333,04-01-2021 8.00,2021,0.063,Tamil Nadu CWC
210190,SAVANDAPUR,CWC,Tamil Nadu,Erode,Gobichettipalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.52,77.51,04-01-2021 8.00,2021,9.013,Tamil Nadu CWC
246112,THENI,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Suruliar,Suruliar,10.00111111,77.485,04-01-2021 8.00,2021,2.167,Tamil Nadu CWC
258199,THIRUVARAMBU,CWC,Tamil Nadu,Kanyakumari,Kalkulam,Kodaiyar,West flowing rivers from Tadri to Kanyakumari,-,Kodaiyar,8.36416667,77.25888889,04-01-2021 8.00,2021,0.263,Tamil Nadu CWC
298304,V.Kallathur,CWC,Tamil Nadu,Perambalur,PERAMBALUR,Duplicate-Vellar,East flowing rivers between Pennar and Kanyakumari,Sweta,Sweta,11.4025,78.92972222,04-01-2021 8.00,2021,0,Tamil Nadu CWC
286995,Vazhavachanur,CWC,Tamil Nadu,Tiruvannamalai,CHENGAM,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.06583333,78.97805556,04-01-2021 8.00,2021,0,Tamil Nadu CWC
288506,Venganur,CWC,Tamil Nadu,Cuddalore,Virudhachalam,Vellar,East flowing rivers between Pennar and Kanyakumari,Periyaodai,Periyaodai,11.44305556,79.02444444,04-01-2021 8.00,2021,0.019,Tamil Nadu CWC
95310,KALLIDAIKURICHHI,CWC,Tamil Nadu,Tirunelveli,AMBASAMUDRAM,Tambraparani,East flowing rivers between Pennar and Kanyakumari,-,Tambraparani,8.69333333,77.46583333,04-01-2021 8.15,2021,15.733,Tamil Nadu CWC
175690,Odendurai,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Kallar,11.32166667,76.89277778,04-01-2021 8.15,2021,0.918,Tamil Nadu CWC
186444,Penneswaramadam,CWC,Tamil Nadu,Krishnagiri,Pochampalli,Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,-,Ponnaiyar,12.39555556,78.24583333,04-01-2021 8.15,2021,1.448,Tamil Nadu CWC
150895,MURAPPANADU,CWC,Tamil Nadu,Tuticorin,THOOTHUKKUDI,Thambraparani,East flowing rivers between Pennar and Kanyakumari,-,Thambraparani,8.71444444,77.835,04-01-2021 9.00,2021,6.266,Tamil Nadu CWC
159557,MUSIRI,CWC,Tamil Nadu,Tiruchirappalli,MUSIRI,Cauvery,Cauvery,-,Cauvery,10.93805556,78.44027778,04-01-2021 9.00,2021,16.393,Tamil Nadu CWC
9065,AMBARAMPALAYAM,CWC,Tamil Nadu,Coimbatore,POLLACHI,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,Aliyar,10.63138889,76.94611111,05-01-2021 8.00,2021,1.996,Tamil Nadu CWC
6836,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,05-01-2021 8.00,2021,0,Puducherry CWC
48342,BILIGUNDULU,CWC,Tamil Nadu,Dharmapuri,Denkanikotti,Cauvery,Cauvery,-,Cauvery,12.18222222,77.72388889,05-01-2021 8.00,2021,23.67,Tamil Nadu CWC
67708,Gandhavayal,CWC,Tamil Nadu,Coimbatore,Mettupalayam,Cauvery,Cauvery,Bhavani,Bhavani,11.37416667,76.99222222,05-01-2021 8.00,2021,0.572,Tamil Nadu CWC
105780,KODUMUDI,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,-,Cauvery,11.08,77.89,05-01-2021 8.00,2021,5.7,Tamil Nadu CWC
114287,Kukkalthurai,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Bhavani,11.48555556,76.8325,05-01-2021 8.00,2021,0.5564628,Tamil Nadu CWC
141783,Menangudi,CWC,Tamil Nadu,Tiruvarur,NANNILAM,Cauvery,Cauvery,-,Noolar,10.94888889,79.70361111,05-01-2021 8.00,2021,0,Tamil Nadu CWC
200948,Porakudi,CWC,Tamil Nadu,Nagapattinam,NAGAPATTINAM,Cauvery,Cauvery,-,Arasalar,10.90361111,79.70722222,05-01-2021 8.00,2021,0,Tamil Nadu CWC
237475,THENGUMARAHADA,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Moyar,11.57277778,76.91916667,05-01-2021 8.00,2021,4,Tamil Nadu CWC
246131,THENI,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Suruliar,Suruliar,10.00111111,77.485,05-01-2021 8.00,2021,0,Tamil Nadu CWC
